web-scraper-order,web-scraper-start-url,disinfo-case-link,disinfo-case-link-href,title,date,keywords
1653630041-295,https://euvsdisinfo.eu/disinformation-cases/?text=&date=&disinfo_countries%5B%5D=77547&per_page=100,The EU should stop Kyiv from committing war crimes,https://euvsdisinfo.eu/report/pls-sthe-eu-should-stop-kyiv-from-committing-war-crimes,Disinfo: The EU should stop Kyiv from committing war crimes,DATE OF PUBLICATION: 22/04/2022,"Keywords: Brussels, war crimes, Invasion of Ukraine, Donbas, Russophobia"
1653629949-265,https://euvsdisinfo.eu/disinformation-cases/?text=&date=&disinfo_countries%5B%5D=77547&per_page=100,Bodies found in Bucha are just an Ukrainian provocation,https://euvsdisinfo.eu/report/bodies-found-in-bucha-are-just-an-ukrainian-provocation,Disinfo: Bodies found in Bucha are just an Ukrainian provocation,DATE OF PUBLICATION: 04/04/2022,"Keywords: War in Ukraine, Provocation, War crimes"
1653630150-334,https://euvsdisinfo.eu/disinformation-cases/?text=&date=&disinfo_countries%5B%5D=77547&per_page=100,Europe is tempted to support Neo-Nazi movements,https://euvsdisinfo.eu/report/europe-is-tempted-to-support-neo-nazi-movements,Disinfo: Europe is tempted to support Neo-Nazi movements,DATE OF PUBLICATION: 16/05/2022,Keywords: Nazi/Fascist
1653629926-257,https://euvsdisinfo.eu/disinformation-cases/?text=&date=&disinfo_countries%5B%5D=77547&per_page=100,The West is spreading fakes about Russian atrocities in Bucha,https://euvsdisinfo.eu/report/the-west-is-spreading-fakes-about-russian-atrocities-in-bucha,Disinfo: The West is spreading fakes about Russian atrocities in Bucha,DATE OF PUBLICATION: 03/04/2022,"Keywords: War crimes, War in Ukraine"
1653630002-283,https://euvsdisinfo.eu/disinformation-cases/?text=&date=&disinfo_countries%5B%5D=77547&per_page=100,Russian action in Ukraine to prevent Third World War,https://euvsdisinfo.eu/report/russian-action-in-ukraine-to-prevent-third-world-war,Disinfo: Russian action in Ukraine to prevent Third World War,DATE OF PUBLICATION: 12/04/2022,"Keywords: War in Ukraine, Invasion of Ukraine, Military"
1653629921-255,https://euvsdisinfo.eu/disinformation-cases/?text=&date=&disinfo_countries%5B%5D=77547&per_page=100,"EU is not considering Russian interests, is Russophobe",https://euvsdisinfo.eu/report/eu-is-not-considering-russian-interests-is-russophobe,"Disinfo: EU is not considering Russian interests, is Russophobe",DATE OF PUBLICATION: 01/04/2022,"Keywords: Russophobia, Anti-Russian, Sanctions, War in Ukraine"
1653630088-312,https://euvsdisinfo.eu/disinformation-cases/?text=&date=&disinfo_countries%5B%5D=77547&per_page=100,Bucha is clearly a provocation as the corpses presented many anomalies,https://euvsdisinfo.eu/report/bucha-is-clearly-a-provocation-as-the-corpses-presented-many-anomalies,Disinfo: Bucha is clearly a provocation as the corpses presented many anomalies,DATE OF PUBLICATION: 01/05/2022,null
1653629968-272,https://euvsdisinfo.eu/disinformation-cases/?text=&date=&disinfo_countries%5B%5D=77547&per_page=100,Britain is lying by saying that Bucha massacre is Russia's fault,https://euvsdisinfo.eu/report/britain-is-lying-by-saying-that-bucha-massacre-is-russias-fault,Disinfo: Britain is lying by saying that Bucha massacre is Russia's fault,DATE OF PUBLICATION: 05/04/2022,"Keywords: War in Ukraine, War crimes"
1653630147-333,https://euvsdisinfo.eu/disinformation-cases/?text=&date=&disinfo_countries%5B%5D=77547&per_page=100,Sweden and Finland are being dragged into NATO and forced to wage a war against Russia,https://euvsdisinfo.eu/report/sweden-and-finland-are-being-dragged-into-nato-and-forced-to-wage-a-war-against-russia,Disinfo: Sweden and Finland are being dragged into NATO and forced to wage a war against Russia,DATE OF PUBLICATION: 15/05/2022,"Keywords: NATO, EU/NATO enlargement, Anti-Russian, Russophobia, Encircling Russia"
1653629977-275,https://euvsdisinfo.eu/disinformation-cases/?text=&date=&disinfo_countries%5B%5D=77547&per_page=100,"US, UK, EU finance provocations similar to Bucha massacre",https://euvsdisinfo.eu/report/us-uk-eu-finance-provocations-similar-to-bucha-massacre,"Disinfo: US, UK, EU finance provocations similar to Bucha massacre",DATE OF PUBLICATION: 06/04/2022,"Keywords: War in Ukraine, Human rights, Bosnia war, Syrian War, War crimes"
1653630094-314,https://euvsdisinfo.eu/disinformation-cases/?text=&date=&disinfo_countries%5B%5D=77547&per_page=100,UK is pushing Ukraine to fight Russia promising assistance with nuclear strike,https://euvsdisinfo.eu/report/uk-is-pushing-ukraine-to-fight-russia-promising-assistance-with-nuclear-strike,Disinfo: UK is pushing Ukraine to fight Russia promising assistance with nuclear strike,DATE OF PUBLICATION: 01/05/2022,null
1653629954-267,https://euvsdisinfo.eu/disinformation-cases/?text=&date=&disinfo_countries%5B%5D=77547&per_page=100,UK refused to hold a UN meeting to propagate false information on Bucha,https://euvsdisinfo.eu/report/uk-refused-to-hold-a-un-meeting-to-propagate-false-information-on-bucha,Disinfo: UK refused to hold a UN meeting to propagate false information on Bucha,DATE OF PUBLICATION: 04/04/2022,"Keywords: War in Ukraine, UN, Propaganda, War crimes"
1653630091-313,https://euvsdisinfo.eu/disinformation-cases/?text=&date=&disinfo_countries%5B%5D=77547&per_page=100,Bucha is a provocation aiming to derail Russia-Ukraine negotiations in Istanbul,https://euvsdisinfo.eu/report/bucha-is-a-provocation-aiming-to-derail-russia-ukraine-negotiations-in-istanbul,Disinfo: Bucha is a provocation aiming to derail Russia-Ukraine negotiations in Istanbul,DATE OF PUBLICATION: 01/05/2022,null
1653630099-316,https://euvsdisinfo.eu/disinformation-cases/?text=&date=&disinfo_countries%5B%5D=77547&per_page=100,Western media have decided that Russia is guilty in Bucha despite the lack of evidence,https://euvsdisinfo.eu/report/western-media-have-decided-that-russia-is-guilty-in-bucha-despite-the-lack-of-evidence,Disinfo: Western media have decided that Russia is guilty in Bucha despite the lack of evidence,DATE OF PUBLICATION: 01/05/2022,null
1653630030-291,https://euvsdisinfo.eu/disinformation-cases/?text=&date=&disinfo_countries%5B%5D=77547&per_page=100,The dead people in Bucha are just part of a Ukrainian provocation,https://euvsdisinfo.eu/report/the-dead-people-in-bucha-are-just-part-of-a-ukrainian-provocation,Disinfo: The dead people in Bucha are just part of a Ukrainian provocation,DATE OF PUBLICATION: 19/04/2022,"Keywords: war crimes, War in Ukraine, SBU, Invasion of Ukraine, Mainstream media"
1653630086-311,https://euvsdisinfo.eu/disinformation-cases/?text=&date=&disinfo_countries%5B%5D=77547&per_page=100,NATO members block completion of Russian operation in Ukraine through talks,https://euvsdisinfo.eu/report/nato-members-block-completion-of-russian-operation-in-ukraine-through-talks,Disinfo: NATO members block completion of Russian operation in Ukraine through talks,DATE OF PUBLICATION: 30/04/2022,"Keywords: War in Ukraine, NATO, Military"
1653630135-329,https://euvsdisinfo.eu/disinformation-cases/?text=&date=&disinfo_countries%5B%5D=77547&per_page=100,"West is Russia’s enemy, wants to be more so",https://euvsdisinfo.eu/report/west-is-russias-enemy-wants-to-be-more-so,"Disinfo: West is Russia’s enemy, wants to be more so",DATE OF PUBLICATION: 12/05/2022,"Keywords: Russophobia, War in Ukraine, Invasion of Ukraine"
1653630055-300,https://euvsdisinfo.eu/disinformation-cases/?text=&date=&disinfo_countries%5B%5D=77547&per_page=100,Ukraine fired at the largest ammunition depot in Transnistria,https://euvsdisinfo.eu/report/ukraine-fired-at-the-largest-ammunition-depot-in-transnistria,Disinfo: Ukraine fired at the largest ammunition depot in Transnistria,DATE OF PUBLICATION: 27/04/2022,"Keywords: Transnistria, Frozen conflict"
1653630161-338,https://euvsdisinfo.eu/disinformation-cases/?text=&date=&disinfo_countries%5B%5D=77547&per_page=100,"US, Canada, Switzerland to blame for surge in food and energy prices due to illegal sanctions on Russia",https://euvsdisinfo.eu/report/us-canada-switzerland-to-blame-for-surge-in-food-and-energy-prices-due-to-illegal-sanctions-on-russia,"Disinfo: US, Canada, Switzerland to blame for surge in food and energy prices due to illegal sanctions on Russia",DATE OF PUBLICATION: 19/05/2022,"Keywords: Invasion of Ukraine, food, Sanctions"
1653629938-261,https://euvsdisinfo.eu/disinformation-cases/?text=&date=&disinfo_countries%5B%5D=77547&per_page=100,Ukrainian actions in Bucha are similar to those made by the White Helmets,https://euvsdisinfo.eu/report/ukrainian-actions-in-bucha-are-similar-to-those-made-by-the-white-helmets,Disinfo: Ukrainian actions in Bucha are similar to those made by the White Helmets,DATE OF PUBLICATION: 04/04/2022,"Keywords: White Helmets, War in Ukraine, Syrian War, Terrorism financing, War crimes, Intelligence services"
1653630130-327,https://euvsdisinfo.eu/disinformation-cases/?text=&date=&disinfo_countries%5B%5D=77547&per_page=100,Kyiv refused to implement the Minsk agreements and conducted a genocide in Donbas,https://euvsdisinfo.eu/report/kyiv-refused-to-implement-the-minsk-agreements-and-conducted-a-genocide-in-donbas,Disinfo: Kyiv refused to implement the Minsk agreements and conducted a genocide in Donbas,DATE OF PUBLICATION: 10/05/2022,"Keywords: Genocide, Invasion of Ukraine, Donbas, DNR, LNR, Minsk agreements"
1653630124-325,https://euvsdisinfo.eu/disinformation-cases/?text=&date=&disinfo_countries%5B%5D=77547&per_page=100,The government of Israel support anti-Semitism in Ukraine.,https://euvsdisinfo.eu/report/the-government-of-israel-support-anti-semitism-in-ukraine,Disinfo: The government of Israel support anti-Semitism in Ukraine.,DATE OF PUBLICATION: 06/05/2022,"Keywords: Anti-Semitism, Nazi/Fascist"
1653629882-241,https://euvsdisinfo.eu/disinformation-cases/?text=&date=&disinfo_countries%5B%5D=77547&per_page=100,Ukraine ceased to be a democratic state after 2014,https://euvsdisinfo.eu/report/ukraine-ceased-to-be-a-democratic-state-after-2014,Disinfo: Ukraine ceased to be a democratic state after 2014,DATE OF PUBLICATION: 27/03/2022,"Keywords: Nazi/Fascist, Coup, Ukrainian statehood, Euromaidan"
1653629957-268,https://euvsdisinfo.eu/disinformation-cases/?text=&date=&disinfo_countries%5B%5D=77547&per_page=100,Kyiv prepared a provocation accusing the Russian army of targeting civilians in Bucha,https://euvsdisinfo.eu/report/kyiv-prepared-a-provocation-accusing-the-russian-army-of-targeting-civilians-in-bucha,Disinfo: Kyiv prepared a provocation accusing the Russian army of targeting civilians in Bucha,DATE OF PUBLICATION: 04/04/2022,Keywords: War in Ukraine
1653630052-299,https://euvsdisinfo.eu/disinformation-cases/?text=&date=&disinfo_countries%5B%5D=77547&per_page=100,Russia launched a special military operation in accordance with the UN Charter,https://euvsdisinfo.eu/report/russia-launched-a-special-military-operation-in-accordance-with-the-un-charter,Disinfo: Russia launched a special military operation in accordance with the UN Charter,DATE OF PUBLICATION: 26/04/2022,"Keywords: UN, United Nations, António Guterres, War in Ukraine, Invasion of Ukraine, International Law, Vladimir Putin"
1653630167-340,https://euvsdisinfo.eu/disinformation-cases/?text=&date=&disinfo_countries%5B%5D=77547&per_page=100,Ukraine sells its grain to pay for weapons,https://euvsdisinfo.eu/report/ukraine-sells-its-grain-to-pay-for-weapons,Disinfo: Ukraine sells its grain to pay for weapons,DATE OF PUBLICATION: 23/05/2022,"Keywords: War in Ukraine, food"
1653630049-298,https://euvsdisinfo.eu/disinformation-cases/?text=&date=&disinfo_countries%5B%5D=77547&per_page=100,Ukraine has become another colony of the West,https://euvsdisinfo.eu/report/ukraine-has-become-another-colony-of-the-west,Disinfo: Ukraine has become another colony of the West,DATE OF PUBLICATION: 24/04/2022,"Keywords: Puppets, Ukrainian statehood"
